country_name_zh,iso3
蒙古,MNG
中国澳门特别行政区,MAC
北马里亚纳群岛,MNP
马提尼克,MTQ
毛里塔尼亚,MRT
蒙特塞拉特,MSR
马耳他,MLT
毛里求斯,MUS
马尔代夫,MDV
马拉维,MWI
墨西哥,MEX
马来西亚,MYS
莫桑比克,MOZ
纳米比亚,NAM
新喀里多尼亚,NCL
尼日尔,NER
诺福克岛,NFK
尼日利亚,NGA
尼加拉瓜,NIC
荷兰,NLD
挪威,NOR
尼泊尔,NPL
瑙鲁,NRU
纽埃,NIU
新西兰,NZL
阿曼,OMN
巴拿马,PAN
秘鲁,PER
法属波利尼西亚,PYF
巴布亚新几内亚,PNG
菲律宾,PHL
巴基斯坦,PAK
波兰,POL
圣皮埃尔和密克隆群岛,SPM
皮特凯恩群岛,PCN
波多黎各,PRI
巴勒斯坦领土,PSE
葡萄牙,PRT
帕劳,PLW
巴拉圭,PRY
卡塔尔,QAT
留尼汪,REU
罗马尼亚,ROU
塞尔维亚,SRB
俄罗斯,RUS
卢旺达,RWA
沙特阿拉伯,SAU
所罗门群岛,SLB
塞舌尔,SYC
苏丹,SDN
瑞典,SWE
新加坡,SGP
圣赫勒拿,SHN
斯洛文尼亚,SVN
斯瓦尔巴和扬马延,SJM
斯洛伐克,SVK
塞拉利昂,SLE
圣马力诺,SMR
塞内加尔,SEN
索马里,SOM
苏里南,SUR
南苏丹,SSD
圣多美和普林西比,STP
萨尔瓦多,SLV
荷属圣马丁,SXM
叙利亚,SYR
斯威士兰,SWZ
特克斯和凯科斯群岛,TCA
乍得,TCD
法属南部领地,ATF
多哥,TGO
泰国,THA
塔吉克斯坦,TJK
托克劳,TKL
东帝汶,TLS
土库曼斯坦,TKM
突尼斯,TUN
汤加,TON
土耳其,TUR
特立尼达和多巴哥,TTO
图瓦卢,TUV
台湾,TWN
坦桑尼亚,TZA
乌克兰,UKR
乌干达,UGA
美国本土外小岛屿,UMI
美国,USA
乌拉圭,URY
乌兹别克斯坦,UZB
梵蒂冈,VAT
圣文森特和格林纳丁斯,VCT
委内瑞拉,VEN
英属维尔京群岛,VGB
美属维尔京群岛,VIR
越南,VNM
瓦努阿图,VUT
瓦利斯和富图纳,WLF
萨摩亚,WSM
也门,YEM
马约特,MYT
南非,ZAF
赞比亚,ZMB
津巴布韦,ZWE
刚果民主共和国,COD
刚果共和国,COG
巴勒斯坦,PSE
老挝人民民主共和国,LAO
朝鲜民主主义人民共和国,PRK
伊朗伊斯兰共和国,IRN
委内瑞拉玻利瓦尔共和国,VEN
叙利亚阿拉伯共和国,SYR
坦桑尼亚联合共和国,TZA
玻利维亚多民族国,BOL
摩尔多瓦共和国,MDA
中国台湾,TWN
香港,HKG
澳门,MAC
美利坚合众国,USA
大韩民国,KOR
阿拉伯叙利亚共和国,SYR
文莱达鲁萨兰国,BRN
刚果,COG
科特廸亚,CIV
捷克共和国,CZE
玻利维亚国,BOL
东帝汶民主共和国,TLS
伯利兹城,BLZ
卢森堡公国,LUX
厄立特里亚国,ERI
圣卢西亚岛,LCA
圣基茨和尼维斯联邦,KNA
圣多美和普林西比民主共和国,STP
圣马力诺共和国,SMR
多米尼加岛,DMA
安道尔共和国,AND
密克罗尼西亚联邦,FSM
巴林岛,BHR
帕劳共和国,PLW
摩纳哥公国,MCO
特立尼达拉岛和多巴哥,TTO
瑙鲁共和国,NRU
马尔他,MLT
黑山共和国,MNE
