province,dip_pilot_city_count,drg_pilot_city_count,drg_pilot_2019,dip_pilot_2020,payment_reform_city_count_total,policy_first_event_year,payment_reform_policy_score,payment_reform_policy_type,policy_timeline_data_available,policy_exposure_note,source_scope,causal_boundary
新疆维吾尔自治区,2.0,1.0,True,True,3.0,2019,0.96,高政策暴露,True,该省存在DRG或DIP国家试点城市，可作为省级D层政策暴露时间线种子。,NHSA DRG 2019国家试点名单 + NHSA DIP 2020国家试点名单,该表只刻画政策暴露/先行试点，不估计政策对健康结果的省级因果效应。
江苏省,3.0,1.0,True,True,4.0,2019,0.98,高政策暴露,True,该省存在DRG或DIP国家试点城市，可作为省级D层政策暴露时间线种子。,NHSA DRG 2019国家试点名单 + NHSA DIP 2020国家试点名单,该表只刻画政策暴露/先行试点，不估计政策对健康结果的省级因果效应。
江西省,3.0,1.0,True,True,4.0,2019,0.98,高政策暴露,True,该省存在DRG或DIP国家试点城市，可作为省级D层政策暴露时间线种子。,NHSA DRG 2019国家试点名单 + NHSA DIP 2020国家试点名单,该表只刻画政策暴露/先行试点，不估计政策对健康结果的省级因果效应。
河北省,4.0,1.0,True,True,5.0,2019,1.0,高政策暴露,True,该省存在DRG或DIP国家试点城市，可作为省级D层政策暴露时间线种子。,NHSA DRG 2019国家试点名单 + NHSA DIP 2020国家试点名单,该表只刻画政策暴露/先行试点，不估计政策对健康结果的省级因果效应。
河南省,2.0,1.0,True,True,3.0,2019,0.96,高政策暴露,True,该省存在DRG或DIP国家试点城市，可作为省级D层政策暴露时间线种子。,NHSA DRG 2019国家试点名单 + NHSA DIP 2020国家试点名单,该表只刻画政策暴露/先行试点，不估计政策对健康结果的省级因果效应。
浙江省,0.0,1.0,True,False,1.0,2019,0.47,中政策暴露,True,该省存在DRG或DIP国家试点城市，可作为省级D层政策暴露时间线种子。,NHSA DRG 2019国家试点名单 + NHSA DIP 2020国家试点名单,该表只刻画政策暴露/先行试点，不估计政策对健康结果的省级因果效应。
海南省,1.0,1.0,True,True,2.0,2019,0.94,高政策暴露,True,该省存在DRG或DIP国家试点城市，可作为省级D层政策暴露时间线种子。,NHSA DRG 2019国家试点名单 + NHSA DIP 2020国家试点名单,该表只刻画政策暴露/先行试点，不估计政策对健康结果的省级因果效应。
湖北省,2.0,1.0,True,True,3.0,2019,0.96,高政策暴露,True,该省存在DRG或DIP国家试点城市，可作为省级D层政策暴露时间线种子。,NHSA DRG 2019国家试点名单 + NHSA DIP 2020国家试点名单,该表只刻画政策暴露/先行试点，不估计政策对健康结果的省级因果效应。
湖南省,3.0,1.0,True,True,4.0,2019,0.98,高政策暴露,True,该省存在DRG或DIP国家试点城市，可作为省级D层政策暴露时间线种子。,NHSA DRG 2019国家试点名单 + NHSA DIP 2020国家试点名单,该表只刻画政策暴露/先行试点，不估计政策对健康结果的省级因果效应。
甘肃省,3.0,1.0,True,True,4.0,2019,0.98,高政策暴露,True,该省存在DRG或DIP国家试点城市，可作为省级D层政策暴露时间线种子。,NHSA DRG 2019国家试点名单 + NHSA DIP 2020国家试点名单,该表只刻画政策暴露/先行试点，不估计政策对健康结果的省级因果效应。
福建省,4.0,1.0,True,True,5.0,2019,1.0,高政策暴露,True,该省存在DRG或DIP国家试点城市，可作为省级D层政策暴露时间线种子。,NHSA DRG 2019国家试点名单 + NHSA DIP 2020国家试点名单,该表只刻画政策暴露/先行试点，不估计政策对健康结果的省级因果效应。
西藏自治区,2.0,0.0,False,True,2.0,2020,0.49,中政策暴露,True,该省存在DRG或DIP国家试点城市，可作为省级D层政策暴露时间线种子。,NHSA DRG 2019国家试点名单 + NHSA DIP 2020国家试点名单,该表只刻画政策暴露/先行试点，不估计政策对健康结果的省级因果效应。
贵州省,3.0,1.0,True,True,4.0,2019,0.98,高政策暴露,True,该省存在DRG或DIP国家试点城市，可作为省级D层政策暴露时间线种子。,NHSA DRG 2019国家试点名单 + NHSA DIP 2020国家试点名单,该表只刻画政策暴露/先行试点，不估计政策对健康结果的省级因果效应。
辽宁省,2.0,1.0,True,True,3.0,2019,0.96,高政策暴露,True,该省存在DRG或DIP国家试点城市，可作为省级D层政策暴露时间线种子。,NHSA DRG 2019国家试点名单 + NHSA DIP 2020国家试点名单,该表只刻画政策暴露/先行试点，不估计政策对健康结果的省级因果效应。
重庆市,0.0,1.0,True,False,1.0,2019,0.47,中政策暴露,True,该省存在DRG或DIP国家试点城市，可作为省级D层政策暴露时间线种子。,NHSA DRG 2019国家试点名单 + NHSA DIP 2020国家试点名单,该表只刻画政策暴露/先行试点，不估计政策对健康结果的省级因果效应。
陕西省,1.0,1.0,True,True,2.0,2019,0.94,高政策暴露,True,该省存在DRG或DIP国家试点城市，可作为省级D层政策暴露时间线种子。,NHSA DRG 2019国家试点名单 + NHSA DIP 2020国家试点名单,该表只刻画政策暴露/先行试点，不估计政策对健康结果的省级因果效应。
青海省,1.0,1.0,True,True,2.0,2019,0.94,高政策暴露,True,该省存在DRG或DIP国家试点城市，可作为省级D层政策暴露时间线种子。,NHSA DRG 2019国家试点名单 + NHSA DIP 2020国家试点名单,该表只刻画政策暴露/先行试点，不估计政策对健康结果的省级因果效应。
黑龙江省,3.0,1.0,True,True,4.0,2019,0.98,高政策暴露,True,该省存在DRG或DIP国家试点城市，可作为省级D层政策暴露时间线种子。,NHSA DRG 2019国家试点名单 + NHSA DIP 2020国家试点名单,该表只刻画政策暴露/先行试点，不估计政策对健康结果的省级因果效应。
